customer_id,first_name,last_name,email,phone,country,city,postcode,created_at,marketing_opt_in,customer_segment,lifetime_value,repeat_customer
1,Angel,Hill,donaldgarcia@example.net,-911,Saint Barthelemy,Robinsonshire,36964,27-06-2022 11:08,0,Retail,14843.93,1
2,Katherine,Moore,jpeterson@example.org,001-851-316-1559x40781,Micronesia,Mariastad,76175,05-08-2021 18:16,1,Retail,13550.15,0
3,Janet,Williams,kendragalloway@example.org,664-375-2553,New Caledonia,New Jessica,21918,05-03-2023 23:45,1,SMB,684.06,1
4,Noah,Mayo,gabriellecameron@example.org,505.964.1395,Indonesia,Thomasberg,32826,21-06-2025 18:18,1,Enterprise,579.39,1
5,Amber,Burgess,zhurst@example.com,828.371.0122,Hungary,Carlsonmouth,69853,25-04-2026 16:19,0,Enterprise,8419.42,0
6,Tasha,Valencia,frazierdanny@example.net,001-645-514-6270x48281,Cape Verde,Kathrynside,70015,05-09-2023 16:29,1,Retail,15188.21,1
7,Carol,Burns,hickmannatasha@example.com,403.491.1718,Palestinian Territory,Arroyoburgh,35242,18-07-2021 08:19,0,SMB,3151.82,0
8,Monique,Henderson,sarahcampos@example.net,546.357.8713,Guadeloupe,New Angelashire,29365,10-01-2026 23:53,1,Retail,7629.55,0
9,Chad,Welch,carlosjohnson@example.com,983-547-3829,Slovenia,Aguirreborough,12864,07-08-2021 21:52,1,SMB,16152.21,0
10,Donna,Gomez,uowens@example.org,+1-610-965-1333x87262,Egypt,South Lindseyside,13334,13-05-2022 17:22,0,SMB,1622.06,1
11,Denise,Fernandez,novaksara@example.org,(267)873-6026,Estonia,Mitchellside,87253,20-12-2021 17:49,0,SMB,11568.18,0
12,Eric,Phillips,rileyamy@example.net,300-597-8820x81219,Iraq,New Johnton,81684,05-09-2025 14:32,1,Retail,15472.71,0
13,Robert,Silva,sarah35@example.org,362-547-5107x991,Madagascar,Davidstad,9517,28-03-2022 06:48,0,Retail,7633.52,0
14,Mike,Moore,cheryl80@example.net,-2446,Netherlands,Lake Matthew,90612,14-08-2023 12:51,0,Retail,7435.11,1
15,William,King,davisrodney@example.com,2053242786,Belarus,New Barry,48894,14-10-2023 17:45,1,Enterprise,12978.31,0
16,Angela,Jordan,parkerrachel@example.org,(833)215-8692x322,Christmas Island,Kimberlychester,88307,30-06-2026 08:45,1,Enterprise,4933.98,0
17,Joseph,Cobb,reyesbenjamin@example.com,837.754.3303,Fiji,Port Joshuahaven,52887,26-08-2023 14:22,1,Enterprise,13778.83,1
18,Mark,Johnson,gregory40@example.org,+1-265-856-9816x934,Afghanistan,West Ryan,87563,06-02-2026 12:49,1,Retail,4619.51,1
19,Cindy,Alvarado,cortezkevin@example.com,+1-865-264-8236x62994,Gabon,Jasonshire,80017,07-05-2024 11:11,1,SMB,1370.46,0
20,Steven,Ramos,williamleon@example.net,(514)589-5134,Cameroon,North Johnfort,80621,12-04-2024 18:19,0,Enterprise,6327.82,0
21,Stanley,Mercado,jennifercruz@example.com,220.516.3287,United States Virgin Islands,South Dennismouth,88001,27-02-2022 20:09,1,Enterprise,9204.09,1
22,Vanessa,Larson,usalazar@example.net,(387)627-7434x87347,Dominica,Matthewside,11062,21-01-2026 17:45,1,Enterprise,10802.6,0
23,Edward,Reyes,jasminebrown@example.com,787-660-3669x09670,Sao Tome and Principe,Castanedachester,71046,19-09-2022 11:36,0,Enterprise,8018.04,1
24,Lauren,Hurst,brobinson@example.com,2658627298,Nauru,North Dawnberg,61016,09-03-2026 08:15,0,Enterprise,9895.64,0
25,Brent,Gray,shawnrogers@example.com,264-517-0805x310,Cook Islands,New Elijahberg,62571,01-02-2023 04:23,0,Retail,12567.55,0
26,Anne,Robinson,katie29@example.net,001-512-341-9049x6631,Qatar,Melissaville,74678,06-07-2022 23:11,0,Retail,7726.11,0
27,Michael,Patterson,casey50@example.com,916.857.2628x4987,Sweden,Marcusbury,11860,21-11-2021 04:01,0,SMB,19423.01,0
28,Nicole,Sanchez,qhudson@example.com,207-552-7354x54948,Belize,Lake Richard,73269,30-11-2023 04:05,1,Enterprise,2335.31,0
29,Hannah,Brewer,bwest@example.org,736-734-9578x8568,Reunion,Nelsonview,30718,02-08-2023 05:32,0,Enterprise,6836.5,1
30,Jennifer,Stewart,jamesrodgers@example.com,001-498-694-1343x5240,Aruba,New Kellyberg,84107,26-07-2022 10:26,1,Retail,19078.63,0
31,Curtis,Smith,taylor75@example.org,2474116719,Canada,Christopherbury,16026,18-09-2025 16:15,1,Enterprise,15251.15,0
32,Kathy,Obrien,kimberlyjames@example.com,496-549-9091x3341,China,East Aaronmouth,90858,15-04-2026 10:37,1,Enterprise,6003.97,0
33,Kelly,Hall,jacqueline71@example.net,649.436.1832,Barbados,East Laurashire,38329,15-07-2025 12:54,0,Retail,7509.58,1
34,David,Barker,gbender@example.net,271.690.6594x0139,Morocco,Port Katelynfort,68522,10-04-2025 23:20,0,Enterprise,18373.95,0
35,Sabrina,White,fwalters@example.org,256.955.1256x7468,Benin,Johnnyville,53477,20-04-2025 12:42,0,Retail,18585.52,0
36,Mallory,Smith,mgutierrez@example.net,(397)270-3482x477,Norfolk Island,Lake Eric,72700,01-12-2025 08:45,0,SMB,4827.07,1
37,Andrea,Davis,murraydavid@example.org,448.346.7737x8263,Falkland Islands (Malvinas),Morganhaven,35519,28-08-2021 01:19,0,Retail,1758.79,0
38,Justin,Evans,cgrimes@example.net,855.288.6753x3963,Ghana,Thorntonfurt,51105,24-07-2021 12:58,1,Enterprise,15328.4,1
39,Tyler,Johnson,molly71@example.net,702.862.1745x961,Zimbabwe,Courtneyfort,71413,01-11-2022 03:28,0,Enterprise,3344.28,0
40,Christina,Young,wendy16@example.org,001-517-824-0050x45562,Mongolia,East Gregory,80388,05-11-2021 02:31,0,Retail,18581.82,0
41,Christine,Allen,jesselittle@example.com,607-948-2175x946,Tanzania,Jamesfurt,63836,17-10-2024 02:15,0,Enterprise,6268.74,0
42,John,Armstrong,victoria40@example.net,(640)490-9743x9533,Niue,Lake Debbieport,58280,12-06-2022 22:19,0,SMB,17997.3,0
43,Bethany,Oconnor,browningmark@example.com,(632)985-8842,Sri Lanka,Juliemouth,15596,28-10-2021 05:31,1,Retail,6794.81,0
44,Sydney,Taylor,michelleramsey@example.com,-6227,Myanmar,Carsonstad,14702,10-07-2025 15:00,1,Retail,193.46,0
45,Thomas,Harvey,rose31@example.net,446.812.0047x113,Korea,Ellenside,55436,13-07-2023 00:42,1,Retail,18113.13,0
46,Julia,Moore,fpena@example.net,(840)653-7735x15850,Comoros,Port Madisonland,87371,15-07-2026 08:57,1,Retail,5605.62,0
47,Darlene,Harper,williamsmatthew@example.org,001-431-283-9335,Falkland Islands (Malvinas),East Amber,23372,06-05-2023 13:26,0,Enterprise,18713.51,0
48,Donna,Johnson,howardkristina@example.net,302-940-2681x17758,Macao,New Bradley,86864,23-06-2022 02:23,0,SMB,16159.57,1
49,Kevin,Schneider,browntimothy@example.com,(717)871-1592x12499,Nepal,Shawnchester,13500,22-12-2025 15:54,1,SMB,7118.24,0
